set mem,set r,,get mem,get r
0.232,1.34,,0.221,0.262
0.222,0.24,,0.176,0.183
0.198,0.219,,0.106,0.269
0.195,0.21,,0.174,0.266
0.114,0.205,,0.106,0.265
0.291,0.205,,0.174,0.176
0.255,0.201,,0.108,0.201
0.224,0.178,,0.178,0.175
0.218,0.197,,0.176,0.164
0.201,0.167,,0.173,0.161
0.191,0.163,,0.175,0.161
0.124,0.16,,0.084,0.159
0.118,0.164,,0.077,0.162
0.118,0.159,,0.076,0.161
0.118,0.158,,0.11,0.161
0.096,0.159,,0.081,0.161
0.085,0.159,,0.078,0.172
0.085,0.158,,0.076,0.167
0.084,0.157,,0.075,0.161
0.084,0.156,,0.084,0.16
0.085,0.156,,0.078,0.16
0.084,0.158,,0.078,0.161
0.084,0.157,,0.09,0.161
0.084,0.156,,0.078,0.161
0.084,0.155,,0.076,0.161
0.083,0.162,,0.076,0.16
0.084,0.157,,0.076,0.161
0.085,0.157,,0.075,0.16
0.084,0.154,,0.076,0.161
0.082,0.156,,0.076,0.16
0.083,0.156,,0.076,0.159
0.083,0.195,,0.076,0.16
0.083,0.162,,0.076,0.161
0.083,0.158,,0.075,0.159
0.083,0.158,,0.076,0.159
0.083,0.159,,0.077,0.159
0.135,0.158,,0.076,0.16
0.091,0.157,,0.076,0.162
0.086,0.158,,0.075,0.161
0.083,0.159,,0.075,0.172
0.084,0.157,,0.075,0.164
0.083,0.156,,0.076,0.159
0.083,0.157,,0.075,0.191
0.083,0.159,,0.075,0.17
0.082,0.159,,0.075,0.162
0.083,0.158,,0.075,0.261
0.083,0.156,,0.076,0.264
0.083,0.157,,0.075,0.263
0.083,0.158,,0.075,0.264
0.082,0.157,,0.076,0.264
0.083,0.157,,0.076,0.176
0.082,0.164,,0.077,0.163
0.082,0.159,,0.075,0.161
0.082,0.158,,0.076,0.162
0.082,0.222,,0.075,0.16
0.083,0.168,,0.076,0.161
0.082,0.16,,0.076,0.161
0.084,0.176,,0.076,0.16
0.083,0.159,,0.116,0.159
0.083,0.159,,0.08,0.211
0.083,0.156,,0.077,0.163
0.083,0.156,,0.077,0.162
0.082,0.157,,0.076,0.16
0.082,0.157,,0.075,0.161
0.082,0.158,,0.076,0.16
0.083,0.157,,0.076,0.16
0.083,0.157,,0.075,0.16
0.083,0.159,,0.075,0.161
0.083,0.158,,0.075,0.164
0.082,0.156,,0.075,0.162
0.082,0.158,,0.076,0.16
0.083,0.157,,0.076,0.162
0.082,0.157,,0.076,0.16
0.082,0.159,,0.076,0.192
0.083,0.158,,0.076,0.178
0.082,0.158,,0.075,0.263
0.092,0.204,,0.076,0.263
0.085,0.174,,0.075,0.175
0.084,0.157,,0.076,0.263
0.084,0.157,,0.076,0.281
0.083,0.157,,0.076,0.177
0.081,0.157,,0.075,0.164
0.081,0.156,,0.076,0.16
0.082,0.157,,0.075,0.16
0.081,0.157,,0.076,0.16
0.082,0.158,,0.075,0.161
0.082,0.157,,0.075,0.162
0.082,0.157,,0.075,0.159
0.082,0.164,,0.076,0.161
0.083,0.158,,0.075,0.16
0.081,0.156,,0.075,0.159
0.082,0.157,,0.075,0.16
0.083,0.157,,0.074,0.159
0.082,0.157,,0.074,0.16
0.082,0.158,,0.075,0.16
0.082,0.157,,0.076,0.161
0.082,0.158,,0.076,0.161
0.082,0.157,,0.076,0.163
0.082,0.159,,0.074,0.159
0.082,0.175,,0.075,0.159
0.083,0.171,,0.075,0.158
0.082,0.159,,0.076,0.175
0.082,0.157,,0.097,0.16
0.082,0.16,,0.078,0.159
0.081,0.158,,0.075,0.16
0.083,0.158,,0.075,0.16
0.081,0.157,,0.075,0.161
0.083,0.157,,0.075,0.16
0.083,0.157,,0.077,0.159
0.083,0.158,,0.076,0.161
0.082,0.157,,0.076,0.16
0.082,0.157,,0.074,0.159
0.082,0.157,,0.076,0.159
0.081,0.158,,0.075,0.159
0.082,0.155,,0.076,0.159
0.083,0.157,,0.076,0.159
0.082,0.158,,0.076,0.159
0.125,0.157,,0.076,0.158
0.097,0.157,,0.076,0.159
0.084,0.157,,0.075,0.159
0.082,0.157,,0.075,0.166
0.083,0.156,,0.075,0.159
0.083,0.182,,0.075,0.159
0.083,0.163,,0.075,0.161
0.082,0.163,,0.076,0.2
0.082,0.157,,0.075,0.16
0.083,0.157,,0.075,0.16
0.082,0.157,,0.075,0.159
0.083,0.157,,0.075,0.159
0.082,0.156,,0.075,0.159
0.082,0.155,,0.075,0.159
0.083,0.156,,0.077,0.159
0.081,0.156,,0.077,0.159
0.082,0.156,,0.075,0.159
0.083,0.155,,0.075,0.159
0.082,0.157,,0.076,0.16
0.083,0.157,,0.084,0.159
0.082,0.156,,0.077,0.159
0.082,0.156,,0.075,0.158
0.082,0.156,,0.076,0.158
0.082,0.157,,0.077,0.158
0.083,0.157,,0.076,0.158
0.083,0.157,,0.075,0.16
0.082,0.157,,0.076,0.159
0.082,0.156,,0.074,0.159
0.083,0.181,,0.076,0.16
0.082,0.164,,0.088,0.171
0.082,0.158,,0.078,0.163
0.082,0.157,,0.076,0.16
0.082,0.157,,0.076,0.161
0.082,0.157,,0.075,0.16
0.082,0.158,,0.075,0.159
0.082,0.158,,0.076,0.159
0.082,0.156,,0.076,0.16
0.081,0.154,,0.076,0.159
0.082,0.157,,0.077,0.16
0.082,0.156,,0.076,0.158
0.093,0.156,,0.075,0.159
0.086,0.157,,0.076,0.159
0.082,0.158,,0.076,0.159
0.082,0.157,,0.075,0.16
0.082,0.158,,0.076,0.182
0.082,0.156,,0.075,0.159
0.081,0.156,,0.076,0.16
0.082,0.157,,0.077,0.16
0.083,0.157,,0.075,0.159
0.082,0.156,,0.076,0.159
0.082,0.156,,0.075,0.159
0.081,0.158,,0.075,0.159
0.081,0.171,,0.076,0.17
0.082,0.157,,0.076,0.163
0.081,0.155,,0.076,0.161
0.082,0.157,,0.076,0.16
0.082,0.156,,0.076,0.16
0.081,0.156,,0.076,0.159
0.082,0.156,,0.077,0.16
0.081,0.169,,0.077,0.16
0.081,0.158,,0.076,0.16
0.081,0.158,,0.076,0.158
0.081,0.157,,0.076,0.16
0.08,0.156,,0.075,0.159
0.082,0.158,,0.075,0.159
0.081,0.159,,0.075,0.161
0.082,0.157,,0.075,0.159
0.081,0.251,,0.08,0.159
0.082,0.173,,0.076,0.159
0.081,0.16,,0.076,0.159
0.082,0.158,,0.076,0.159
0.081,0.159,,0.076,0.159
0.081,0.158,,0.076,0.16
0.081,0.159,,0.076,0.159
0.082,0.196,,0.082,0.158
0.081,0.161,,0.077,0.212
0.08,0.159,,0.076,0.171
0.081,0.159,,0.075,0.173
0.082,0.158,,0.076,0.162
0.08,0.158,,0.076,0.163
0.082,0.159,,0.075,0.161
0.122,0.158,,0.075,0.161
0.094,0.158,,0.075,0.16
0.086,0.158,,0.076,0.159
0.083,0.158,,0.076,0.16
0.083,0.157,,0.076,0.16
0.082,0.157,,0.075,0.161
0.083,0.157,,0.076,0.16
0.082,0.158,,0.075,0.16
0.082,0.157,,0.075,0.161
0.082,0.157,,0.076,0.16
0.083,0.156,,0.09,0.161
0.082,0.158,,0.077,0.159
0.082,0.158,,0.076,0.16
0.082,0.157,,0.076,0.16
0.082,0.157,,0.076,0.161
0.082,0.157,,0.076,0.16
0.082,0.189,,0.076,0.164
0.083,0.159,,0.076,0.163
0.083,0.157,,0.075,0.16
0.082,0.156,,0.075,0.159
0.082,0.158,,0.074,0.162
0.082,0.157,,0.076,0.16
0.082,0.157,,0.076,0.159
0.082,0.156,,0.076,0.158
0.081,0.156,,0.076,0.159
0.081,0.158,,0.076,0.16
0.082,0.158,,0.075,0.161
0.082,0.158,,0.074,0.16
0.083,0.157,,0.075,0.159
0.082,0.157,,0.075,0.159
0.081,0.158,,0.075,0.159
0.082,0.158,,0.076,0.159
0.083,0.157,,0.075,0.16
0.082,0.155,,0.075,0.159
0.082,0.157,,0.075,0.159
0.082,0.156,,0.076,0.159
0.081,0.156,,0.075,0.159
0.09,0.158,,0.089,0.158
0.084,0.157,,0.078,0.161
0.083,0.189,,0.075,0.171
0.082,0.161,,0.074,0.162
0.122,0.156,,0.075,0.161
0.086,0.157,,0.075,0.16
0.084,0.156,,0.075,0.16
0.085,0.158,,0.075,0.16
0.083,0.157,,0.075,0.16
0.084,0.158,,0.075,0.159
0.084,0.156,,0.075,0.159
0.085,0.157,,0.076,0.159
0.083,0.158,,0.075,0.16
0.084,0.162,,0.075,0.16
0.084,0.156,,0.075,0.161
0.083,0.172,,0.075,0.16
0.083,0.16,,0.076,0.159
0.084,0.158,,0.075,0.159
0.084,0.157,,0.083,0.159
0.083,0.157,,0.076,0.161
0.084,0.157,,0.076,0.159
0.083,0.157,,0.076,0.176
0.084,0.157,,0.076,0.16
0.084,0.156,,0.076,0.16
0.085,0.158,,0.076,0.16
0.085,0.162,,0.076,0.202
0.084,0.16,,0.075,0.163
0.084,0.157,,0.076,0.161
0.084,0.156,,0.075,0.16
0.084,0.157,,0.075,0.16
0.084,0.157,,0.075,0.159
0.084,0.157,,0.076,0.16
0.084,0.156,,0.076,0.159
0.084,0.155,,0.076,0.158
0.084,0.157,,0.076,0.16
0.083,0.155,,0.075,0.159
0.084,0.169,,0.075,0.159
0.085,0.159,,0.074,0.16
0.083,0.155,,0.075,0.159
0.084,0.155,,0.075,0.159
0.084,0.156,,0.076,0.158
0.085,0.155,,0.076,0.159
0.084,0.156,,0.075,0.166
0.084,0.156,,0.074,0.159
0.097,0.157,,0.095,0.159
0.086,0.156,,0.078,0.159
0.083,0.156,,0.077,0.16
0.084,0.156,,0.076,0.169
0.083,0.184,,0.076,0.165
0.083,0.161,,0.075,0.161
0.085,0.158,,0.075,0.161
0.083,0.156,,0.075,0.16
0.084,0.156,,0.076,0.16
0.085,0.156,,0.074,0.16
0.083,0.154,,0.075,0.16
0.084,0.157,,0.074,0.159
0.083,0.158,,0.076,0.16
0.083,0.156,,0.075,0.159
0.083,0.158,,0.076,0.159
0.083,0.157,,0.076,0.159
0.084,0.156,,0.075,0.16
0.083,0.171,,0.076,0.159
0.084,0.158,,0.075,0.16
0.084,0.157,,0.075,0.16
0.083,0.158,,0.075,0.16
0.083,0.157,,0.076,0.159
0.084,0.157,,0.076,0.161
0.083,0.157,,0.076,0.159
0.084,0.156,,0.075,0.161
0.084,0.156,,0.075,0.159
0.084,0.157,,0.076,0.178
0.083,0.168,,0.075,0.164
0.084,0.174,,0.075,0.161
0.083,0.159,,0.075,0.16
0.084,0.157,,0.075,0.16
0.083,0.157,,0.075,0.16
0.083,0.156,,0.075,0.16
0.087,0.156,,0.075,0.159
0.085,0.157,,0.075,0.16
0.083,0.158,,0.075,0.159
0.084,0.157,,0.075,0.171
0.083,0.157,,0.076,0.162
0.083,0.155,,0.075,0.161
0.084,0.156,,0.074,0.159
0.119,0.157,,0.075,0.16
0.088,0.157,,0.076,0.161
0.084,0.158,,0.076,0.16
0.084,0.157,,0.076,0.161
0.083,0.156,,0.074,0.162
0.083,0.156,,0.102,0.161
0.084,0.157,,0.077,0.161
0.083,0.157,,0.076,0.16
0.083,0.157,,0.075,0.161
0.083,0.157,,0.074,0.193
0.083,0.174,,0.075,0.162
0.083,0.163,,0.075,0.161
0.083,0.158,,0.075,0.161
0.083,0.158,,0.075,0.16
0.083,0.158,,0.075,0.16
0.083,0.156,,0.075,0.159
0.083,0.156,,0.075,0.159
0.083,0.156,,0.075,0.159
0.083,0.157,,0.075,0.159
0.083,0.157,,0.074,0.161
0.083,0.157,,0.075,0.159
0.082,0.157,,0.075,0.16
0.083,0.157,,0.076,0.159
0.083,0.156,,0.075,0.159
0.083,0.156,,0.075,0.158
0.083,0.156,,0.074,0.16
0.083,0.158,,0.075,0.161
0.083,0.157,,0.074,0.159
0.093,0.156,,0.076,0.159
0.085,0.176,,0.076,0.16
0.084,0.156,,0.076,0.16
0.084,0.157,,0.075,0.16
0.083,0.156,,0.075,0.161
0.091,0.156,,0.075,0.161
0.084,0.165,,0.076,0.16
0.082,0.158,,0.076,0.16
0.083,0.157,,0.075,0.16
0.082,0.158,,0.076,0.159
0.083,0.157,,0.076,0.159
0.083,0.157,,0.075,0.159
0.167,0.155,,0.075,0.159
0.145,0.156,,0.075,0.161
0.101,0.158,,0.075,0.159
0.123,0.157,,0.075,0.159
0.128,0.157,,0.075,0.159
0.128,0.156,,0.076,0.16
0.127,0.157,,0.076,0.16
0.123,0.156,,0.076,0.159
0.098,0.157,,0.075,0.16
0.089,0.158,,0.084,0.158
0.086,0.156,,0.076,0.161
0.086,0.157,,0.081,0.16
0.087,0.156,,0.076,0.159
0.087,0.154,,0.074,0.289
0.085,0.157,,0.073,0.217
0.088,0.157,,0.073,0.164
0.087,0.156,,0.074,0.161
0.085,0.185,,0.073,0.159
0.086,0.158,,0.074,0.16
0.086,0.157,,0.074,0.161
0.085,0.157,,0.073,0.159
0.085,0.157,,0.074,0.159
0.086,0.157,,0.074,0.16
0.085,0.157,,0.074,0.159
0.085,0.157,,0.074,0.16
0.085,0.156,,0.073,0.161
0.086,0.156,,0.073,0.16
0.085,0.155,,0.074,0.16
0.085,0.156,,0.074,0.159
0.085,0.157,,0.073,0.159
0.084,0.156,,0.073,0.16
0.084,0.157,,0.073,0.16
0.086,0.156,,0.073,0.16
0.085,0.157,,0.072,0.16
0.085,0.157,,0.073,0.16
0.126,0.157,,0.073,0.158
0.092,0.156,,0.073,0.185
0.088,0.156,,0.089,0.166
0.086,0.156,,0.074,0.161
0.085,0.156,,0.074,0.16
0.084,0.173,,0.074,0.16
0.085,0.158,,0.073,0.159
0.085,0.157,,0.073,0.159
0.085,0.155,,0.073,0.16
0.085,0.155,,0.073,0.159
0.086,0.155,,0.073,0.16
0.086,0.156,,0.073,0.159
0.084,0.157,,0.073,0.16
0.085,0.155,,0.073,0.159
0.085,0.156,,0.073,0.159
0.084,0.156,,0.074,0.159
0.085,0.155,,0.074,0.16
0.085,0.156,,0.074,0.158
0.084,0.156,,0.073,0.158
0.084,0.154,,0.094,0.16
0.085,0.154,,0.076,0.161
0.085,0.155,,0.075,0.159
0.086,0.156,,0.076,0.159
0.085,0.169,,0.074,0.158
0.084,0.157,,0.075,0.195
0.083,0.157,,0.074,0.163
0.085,0.156,,0.074,0.161
0.085,0.156,,0.075,0.16
0.085,0.187,,0.075,0.159
0.085,0.161,,0.075,0.16
0.084,0.156,,0.074,0.16
0.086,0.157,,0.075,0.159
0.084,0.157,,0.074,0.159
0.085,0.156,,0.074,0.159
0.084,0.157,,0.074,0.159
0.084,0.156,,0.075,0.16
0.084,0.156,,0.074,0.16
0.086,0.158,,0.075,0.159
0.084,0.157,,0.075,0.165
0.085,0.156,,0.074,0.158
0.113,0.158,,0.075,0.159
0.091,0.156,,0.075,0.172
0.086,0.156,,0.076,0.162
0.084,0.155,,0.074,0.159
0.084,0.158,,0.074,0.161
0.084,0.157,,0.074,0.159
0.086,0.155,,0.075,0.159
0.085,0.157,,0.074,0.166
0.085,0.157,,0.075,0.16
0.085,0.157,,0.074,0.159
0.085,0.156,,0.075,0.161
0.085,0.182,,0.074,0.16
0.084,0.161,,0.075,0.177
0.084,0.157,,0.074,0.16
0.103,0.156,,0.075,0.16
0.086,0.156,,0.075,0.16
0.085,0.156,,0.074,0.159
0.084,0.157,,0.074,0.16
0.085,0.156,,0.074,0.159
0.084,0.156,,0.074,0.16
0.085,0.169,,0.075,0.16
0.085,0.159,,0.074,0.161
0.085,0.156,,0.075,0.159
0.084,0.156,,0.074,0.159
0.084,0.156,,0.096,0.16
0.084,0.157,,0.08,0.159
0.084,0.157,,0.075,0.159
0.086,0.157,,0.075,0.16
0.084,0.158,,0.074,0.159
0.084,0.157,,0.075,0.185
0.084,0.158,,0.075,0.164
0.085,0.157,,0.074,0.16
0.084,0.157,,0.075,0.16
0.084,0.156,,0.075,0.159
0.084,0.17,,0.074,0.158
0.094,0.158,,0.074,0.159
0.087,0.156,,0.075,0.159
0.085,0.155,,0.075,0.158
0.084,0.155,,0.074,0.16
0.1,0.155,,0.074,0.159
0.087,0.155,,0.074,0.158
0.086,0.155,,0.075,0.16
0.084,0.154,,0.075,0.16
0.084,0.201,,0.075,0.16
0.084,0.17,,0.076,0.16
0.084,0.159,,0.075,0.16
0.085,0.157,,0.074,0.158
0.085,0.157,,0.074,0.159
0.085,0.156,,0.074,0.159
0.085,0.155,,0.074,0.158
0.085,0.157,,0.074,0.158
0.085,0.157,,0.075,0.16
0.085,0.157,,0.075,0.186
0.084,0.156,,0.083,0.164
0.086,0.156,,0.077,0.159
0.084,0.158,,0.075,0.159
0.085,0.156,,0.075,0.158
0.085,0.184,,0.077,0.165
0.085,0.16,,0.075,0.159
0.084,0.156,,0.075,0.158
0.084,0.274,,0.076,0.158
0.084,0.259,,0.075,0.158
0.085,0.258,,0.079,0.157
0.084,0.271,,0.076,0.159
0.084,0.267,,0.074,0.158
0.085,0.262,,0.075,0.159
